English,Where it appears,Screen / file,Placeholders,Keep English,Note
Could not open billing portal — please try again.,Message after an action,Http/Controllers/HostingController,,,
MCP disabled. Redeploy the client to remove the /mcp endpoint.,Message after an action,Http/Controllers/HostingController,,,
MCP enabled. Redeploy the client to start the /mcp endpoint.,Message after an action,Http/Controllers/HostingController,,,
MCP is only available for Flarum forums.,Message after an action,Http/Controllers/HostingController,,,
MCP mode set to :mode. Redeploy to apply.,Message after an action,Http/Controllers/HostingController,:mode,,
Site :op failed: :reason,Message after an action,Http/Controllers/HostingController,:op :reason,,
Site starting. Monitors resume on the next check cycle.,Message after an action,Http/Controllers/HostingController,,,
Site stopped. Monitors paused; visitors will see the site as offline.,Message after an action,Http/Controllers/HostingController,,,
Stripe is not configured.,Message after an action,Http/Controllers/HostingController,,,
This action only applies to Flarum forums.,Message after an action,Http/Controllers/HostingController,,,
Unknown MCP action.,Message after an action,Http/Controllers/HostingController,,,
We're sending a fresh admin set-password link to your email — it should arrive within a minute.,Message after an action,Http/Controllers/HostingController,,,
Your hosting subscription is not active.,Message after an action,Http/Controllers/HostingController,,,
Your plan has a fixed amount of resources — there's nothing to adjust. Need more power? Contact support.,Message after an action,Http/Controllers/HostingController,,,
μs,Message after an action,"Http/Controllers/IncidentController, Http/Controllers/MonitorController",,yes,
Y-m-d,Message after an action,"Http/Controllers/IncidentController, Http/Controllers/MonitorController, Http/Controllers/StatusPageSubscriberController (+24 more)",,yes,
Date,Message after an action,"Http/Controllers/IncidentController, Http/Controllers/MonitorController, Http/Controllers/StatusPageSubscriberController (+3 more)",,,
ID,Message after an action,"Http/Controllers/IncidentController, Http/Controllers/MonitorController, Http/Controllers/StatusPageSubscriberController (+3 more)",,yes,
Type,Message after an action,"Http/Controllers/IncidentController, Http/Controllers/MonitorController, Http/Controllers/StatusPageSubscriberController (+3 more)",,,
Cause,Message after an action,"Http/Controllers/IncidentController, Http/Controllers/MonitorController, Mail/IncidentNotificationMail (+9 more)",,,
Incidents,Message after an action,"Http/Controllers/IncidentController, Http/Controllers/MonitorController, account/profile (+16 more)",,,
Monitor,Message after an action,"../../app/Http/Controllers/IncidentController, ../../app/Http/Controllers/MonitorController, developers/incidents/list (+11 more)",,,
Comment,Message after an action,"../../app/Http/Controllers/IncidentController, ../../app/Http/Controllers/MonitorController, developers/incidents/store-update (+5 more)",,,
Duration,Message after an action,"../../app/Http/Controllers/IncidentController, ../../app/Http/Controllers/MonitorController, incidents/index (+5 more)",,,
URL,Message after an action,"../../app/Http/Controllers/IncidentController, ../../app/Http/Controllers/MonitorController, developers/monitors/list (+4 more)",,yes,
Ended at,Message after an action,"Http/Controllers/IncidentController, Http/Controllers/MonitorController, incidents/edit (+1 more)",,,
Started at,Message after an action,"Http/Controllers/IncidentController, Http/Controllers/MonitorController, incidents/edit (+1 more)",,,
:name has been cancelled.,Message after an action,Http/Controllers/MaintenanceWindowController,:name,,
(copy),Message after an action,Http/Controllers/MonitorController,,,
Failure signal received,Message after an action,Http/Controllers/PingController,,,
Review approved.,Message after an action,Http/Controllers/ReviewController,,,
Review deleted.,Message after an action,Http/Controllers/ReviewController,,,
Review featured.,Message after an action,Http/Controllers/ReviewController,,,
Review unfeatured.,Message after an action,Http/Controllers/ReviewController,,,
Review updated.,Message after an action,Http/Controllers/ReviewController,,,
Thanks! Your review has been submitted and will appear once approved.,Message after an action,Http/Controllers/ReviewController,,,
Your review has already been approved and cannot be edited.,Message after an action,Http/Controllers/ReviewController,,,
Added $:amt — your sandbox balance is now $:bal.,Message after an action,Http/Controllers/SandboxController,:amt :bal,,
All sandbox servers are full right now — you’re in line. Your sandbox will start automatically as soon as capacity frees up.,Message after an action,Http/Controllers/SandboxController,,,
Launching your sandbox — it’ll be ready in a minute.,Message after an action,Http/Controllers/SandboxController,,,
Sandbox not found.,Message after an action,Http/Controllers/SandboxController,,,
Sandboxes aren’t available right now — please check back soon.,Message after an action,Http/Controllers/SandboxController,,,
Shutting down — the meter has stopped and your sandbox is being torn down.,Message after an action,Http/Controllers/SandboxController,,,
Your sandbox balance is $:bal.,Message after an action,Http/Controllers/SandboxController,:bal,,
You’ve hit the limit of :n running sandboxes — shut one down before launching another.,Message after an action,Http/Controllers/SandboxController,:n,,
About Us,Message after an action,Http/Controllers/SearchController,,,
Cookies,Message after an action,Http/Controllers/SearchController,,,
Pages,Message after an action,Http/Controllers/SearchController,,,
Birdseye,Message after an action,"../../app/Http/Controllers/SearchController, birdseye/index, dashboard/index (+3 more)",,yes,
Sandbox,Message after an action,"../../app/Http/Controllers/SearchController, dashboard/index, dashboard/partials/sandbox-card (+4 more)",,yes,
Contact,Message after an action,"../../app/Http/Controllers/SearchController, contact/index, shared/footer",,,
Sponsor,Message after an action,"../../app/Http/Controllers/SearchController, shared/footer, sponsor/index (+1 more)",,,
Warble,Message after an action,"../../app/Http/Controllers/SearchController, dashboard/index, home/index (+2 more)",,yes,
Page,Message after an action,"Http/Controllers/SearchController, emails/analytics-digest",,,
Extensions,Message after an action,"Http/Controllers/SearchController, extensions/show, home/index (+2 more)",,yes,
Uptime Monitoring,Message after an action,"Http/Controllers/SearchController, home/index, monitoring/index (+2 more)",,yes,
Wall of Love,Message after an action,"Http/Controllers/SearchController, reviews/create, reviews/index (+3 more)",,yes,
Privacy Policy,Message after an action,"Http/Controllers/SearchController, shared/footer",,,
Terms of Service,Message after an action,"Http/Controllers/SearchController, shared/footer",,,
Forum,Message after an action,"Http/Controllers/SearchController, shared/footer, shared/header",,,
Cannot delete a server with active clients.,Message after an action,Http/Controllers/ServerController,,,
Server added.,Message after an action,Http/Controllers/ServerController,,,
Server deleted.,Message after an action,Http/Controllers/ServerController,,,
Server updated.,Message after an action,Http/Controllers/ServerController,,,
Approved — the slot is scheduled.,Message after an action,Http/Controllers/SponsoredContentController,,,
Deleted.,Message after an action,Http/Controllers/SponsoredContentController,,,
Not paid yet — approve only paid submissions.,Message after an action,Http/Controllers/SponsoredContentController,,,
Payment could not be started — please try again.,Message after an action,Http/Controllers/SponsoredContentController,,,
Rejected. Refund it from the Stripe dashboard if it was paid.,Message after an action,Http/Controllers/SponsoredContentController,,,
Slot created and scheduled.,Message after an action,Http/Controllers/SponsoredContentController,,,
Almost there — check your inbox to confirm your subscription.,Message after an action,Http/Controllers/StatusPageController,,,
Degraded,Message after an action,Http/Controllers/StatusPageController,,,
Incident history for :name.,Message after an action,Http/Controllers/StatusPageController,:name,,
Not active yet — make sure the CNAME record points to :target and check again in a few minutes.,Message after an action,Http/Controllers/StatusPageController,:target,,
Offline,Message after an action,Http/Controllers/StatusPageController,,,
Online,Message after an action,Http/Controllers/StatusPageController,,,
Paused,Message after an action,Http/Controllers/StatusPageController,,,
Please wait a moment before checking again.,Message after an action,Http/Controllers/StatusPageController,,,
Provisioning started — check again in a minute.,Message after an action,Http/Controllers/StatusPageController,,,
Your domain is active.,Message after an action,Http/Controllers/StatusPageController,,,
Status,Message after an action,"Http/Controllers/StatusPageController, Mail/IncidentNotificationMail, Mail/MaintenanceNotificationMail (+19 more)",,,
Pending,Message after an action,"Http/Controllers/StatusPageController, account/payments/edit, account/payments/index (+6 more)",,,
Resolved,Message after an action,"../../app/Http/Controllers/StatusPageController, developers/incidents/list, incidents/index (+2 more)",,,
Ongoing,Message after an action,"Http/Controllers/StatusPageController, incidents/index, incidents/partials/tooltip (+3 more)",,,
Maintenance,Message after an action,"Http/Controllers/StatusPageController, maintenance/edit, maintenance/index (+3 more)",,,
You have been unsubscribed.,Message after an action,"Http/Controllers/StatusPageController, status-pages/partials/tabs",,,
Unknown monitor,Message after an action,"Http/Controllers/StatusPageController, status-pages/show",,,
Created at,Message after an action,"Http/Controllers/StatusPageSubscriberController, account/payments/edit, account/payments/index (+5 more)",,,
Email,Message after an action,"../../app/Http/Controllers/StatusPageSubscriberController, account/profile, status-pages/subscribers",,,
Verified,Message after an action,"Http/Controllers/StatusPageSubscriberController, account/profile, status-pages/subscribers",,,
Subscribers,Message after an action,"Http/Controllers/StatusPageSubscriberController, status-pages/subscribers",,,
Posted.,Message after an action,Http/Controllers/StatusUpdateController,,,
"Saved, but nothing was posted — no status webhook URL is set in Settings → Social.",Message after an action,Http/Controllers/StatusUpdateController,,,
Already on that plan.,Message after an action,Http/Controllers/WarbleController,,,
Could not update your plan billing — please try again.,Message after an action,Http/Controllers/WarbleController,,,
Credentials rotated — applying to your endpoint. Re-paste your new key in the extension.,Message after an action,Http/Controllers/WarbleController,,,
Plan changed to :tier — applying to your endpoint.,Message after an action,Http/Controllers/WarbleController,:tier,,
Please verify your email address first — the free tier needs a confirmed account.,Message after an action,Http/Controllers/WarbleController,,,
Resuming your free realtime endpoint — back up in a couple of minutes.,Message after an action,Http/Controllers/WarbleController,,,
This app can’t be resumed.,Message after an action,Http/Controllers/WarbleController,,,
Warble cancelled. Your realtime endpoint will stop shortly.,Message after an action,Http/Controllers/WarbleController,,,
Warble removed.,Message after an action,Http/Controllers/WarbleController,,,
You already have a free Warble app — upgrade it when you need more connections.,Message after an action,Http/Controllers/WarbleController,,,
Your free realtime endpoint is being set up — ready in a couple of minutes.,Message after an action,Http/Controllers/WarbleController,,,
Alerts,Form validation,"Http/Requests/StoreMonitorRequest, Http/Requests/UpdateMonitorRequest",,,
Name,Form validation,"Http/Requests/StoreMonitorRequest, Http/Requests/UpdateMonitorRequest, account/payments/invoice (+17 more)",,,
Headers,Form validation,"Http/Requests/StoreMonitorRequest, Http/Requests/UpdateMonitorRequest, monitors/edit (+1 more)",,,
Value,Form validation,"Http/Requests/StoreMonitorRequest, Http/Requests/UpdateMonitorRequest, monitors/edit (+1 more)",,,
Channel,Form validation,"Http/Requests/StoreMonitorRequest, Http/Requests/UpdateMonitorRequest, monitors/edit (+2 more)",,,"Alert channel on the monitor form (email, webhook, Telegram, and so on)."
You cannot demote yourself.,Validation message,Rules/PreventUserDemotionRule,,,
The :attribute field contains a keyword that is banned.,Validation message,Rules/ValidateBannedWordsRule,:attribute,,
The coupon code could not be found.,Validation message,Rules/ValidateCouponCodeRule,,,
The coupon code has expired.,Validation message,Rules/ValidateCouponCodeRule,,,
Invalid cron job key.,Validation message,Rules/ValidateCronjobKeyRule,,,
Invalid edge router token.,Validation message,Rules/ValidateEdgeRouterTokenRule,,,
The :attribute field cannot be in the future.,Validation message,"Rules/ValidateIncidentEndDateRule, Rules/ValidateIncidentStartDateRule",:attribute,,
The :attribute field must be higher than :date,Validation message,"Rules/ValidateIncidentEndDateRule, Rules/ValidateIncidentStartDateRule",:attribute :date,,
The :attribute field is invalid.,Validation message,"Rules/ValidateMonitorOwnershipRule, Rules/ValidateMonitorsOwnershipRule",:attribute,,
The :attribute must be a hostname.,Validation message,Rules/ValidateNotAppDomainRule,:attribute,,
The :attribute is reserved and cannot be used. Please choose a different one.,Validation message,"Rules/ValidateNotAppDomainRule, Rules/ValidateNotReservedSlugRule",:attribute,,
There's already an ongoing incident for this monitor.,Validation message,Rules/ValidateOngoingIncidentRule,,,
The :attribute field cannot be :value when the :field field is present.,Validation message,Rules/ValidatePrivacyFieldRule,:attribute :value :field,,
The URL is not valid.,Validation message,Rules/ValidatePublicUrlRule,,,
The URL points to an internal host.,Validation message,Rules/ValidatePublicUrlRule,,,
Heartbeat missed,Background / system message,Console/Commands/CheckMonitorsCommand,,,
Closed automatically — scheduled maintenance started.,Background / system message,Console/Commands/ProcessMaintenanceWindowsCommand,,,
You don't have access to this feature.,Background / system message,Http/Middleware/EnsureUserHasApiAccess,,,
The expected text was not present in the response body.,Background / system message,Jobs/CheckMonitorChunk,,,
The expected text was present in the response body.,Background / system message,Jobs/CheckMonitorChunk,,,
Connection failed,Background / system message,Jobs/CheckTcpChunk,,,
The URL hostname could not be resolved.,Background / system message,"Jobs/CheckTcpChunk, Rules/ValidatePublicUrlRule",,,
The URL resolves to a private or reserved IP address.,Background / system message,"Jobs/CheckTcpChunk, Rules/ValidatePublicUrlRule",,,
The Numbers,Background / system message,Models/BlogPost,,yes,
Check out :name,Background / system message,../../app/Models/BlogPost,:name,,
From our sponsor,Background / system message,../../app/Models/BlogPost,,,
Backup failed,Background / system message,Models/HostingClient,,,
Backup OK,Background / system message,Models/HostingClient,,,
Backup stale,Background / system message,Models/HostingClient,,,
Backup —,Background / system message,Models/HostingClient,,,
DB OK,Background / system message,Models/HostingClient,,,
DB pressure,Background / system message,Models/HostingClient,,,
DB —,Background / system message,Models/HostingClient,,,
No backup,Background / system message,Models/HostingClient,,,
Provision FAILED,Background / system message,Models/HostingClient,,,
Provision pending,Background / system message,Models/HostingClient,,,
Provisioned,Background / system message,Models/HostingClient,,,
Provisioning…,Background / system message,Models/HostingClient,,,
Queue OK,Background / system message,Models/HostingClient,,,
Queue stuck,Background / system message,Models/HostingClient,,,
Queue —,Background / system message,Models/HostingClient,,,
Heartbeat,Background / system message,Models/Monitor,,,
90-day uptime bars,Background / system message,Models/StatusPage,,,
full width,Background / system message,Models/StatusPage,,,
incident history,Background / system message,Models/StatusPage,,,
narrow width,Background / system message,Models/StatusPage,,,
overall uptime %,Background / system message,Models/StatusPage,,,
response-time sparklines,Background / system message,Models/StatusPage,,,
Shows: :list.,Background / system message,Models/StatusPage,:list,,
Member,Background / system message,Services/ForumClient,,,
:name domain name is expiring soon,Background / system message,Services/MonitorAlertService,:name,,
:name is :status,Background / system message,Services/MonitorAlertService,:name :status,,
:name is now :status.,Background / system message,Services/MonitorAlertService,:name :status,,
:name SSL is expiring soon,Background / system message,Services/MonitorAlertService,:name,,
Alert,Background / system message,Services/MonitorAlertService,,,
Good news,Background / system message,Services/MonitorAlertService,,,
More details at :url.,Background / system message,Services/MonitorAlertService,:url,,
Sent by :name,Background / system message,Services/MonitorAlertService,:name,,
The domain name of :name is expiring in :timeframe.,Background / system message,Services/MonitorAlertService,:name :timeframe,,
The SSL certificate of :name is expiring in :timeframe.,Background / system message,Services/MonitorAlertService,:name :timeframe,,
View Monitor,Background / system message,Services/MonitorAlertService,,,
lang_code,Metadata,catalogue header,,,
lang_dir,Metadata,catalogue header,,,
lang_name,Metadata,catalogue header,,,
1 speaker slot included,Public page,chirp/index,,,
1. Install the extension on your forum,Dashboard,dashboard/partials/chirp-section,,,
"2. Enable Chirp in your admin panel, then paste this channel key",Dashboard,dashboard/partials/chirp-section,,,
"A channel is a dedicated live-audio server for your forum: attach a live room to any discussion, one live at a time per channel. Unlimited listeners. Buy as many channels as you like — each is its own $10/mo subscription.",Dashboard,dashboard/partials/chirp-section,,,
"A live room attaches to a normal discussion — sticky it, tag it, moderate it. Replies land under the audio while you talk, and the whole conversation stays when the room ends.",Public page,chirp/index,,,
Add a channel,"Dashboard, Public page","chirp/index, dashboard/partials/chirp-section",,,
Add another channel,Dashboard,dashboard/partials/chirp-section,,,
Add the free Chirp extension from your Extension Manager.,Public page,chirp/index,,,
Add-on,Public page,chirp/index,,,
All audio servers are full right now — you’re in line. Your channel sets up automatically as soon as capacity frees up.,Dashboard,dashboard/partials/chirp-section,,,
Announcements,Public page,chirp/index,,,
"Billed monthly, cancel anytime. Ends and your discussions keep the whole conversation — that’s the point.",Dashboard,dashboard/partials/chirp-section,,,
Can I cancel any time?,Public page,chirp/index,,,
Can I run two rooms at the same time?,Public page,chirp/index,,,
Cancel channel,Dashboard,dashboard/partials/chirp-section,,,
Change your slot count any time,Public page,chirp/index,,,
"Chirp adds live audio rooms to your Flarum forum. Go live on any discussion: speakers take the stage, unlimited listeners tune in with one click, and the thread itself is the chat. We run the audio server; you paste one key.",Public page,chirp/index,,,
Chirp cancelled. Your audio endpoint will stop shortly.,Message after an action,ChirpController,,,
Chirp removed.,Message after an action,ChirpController,,,
Chirp — Live Audio Rooms for Flarum,Public page,chirp/index,,,
Chirp — Live Audio for Flarum,Public page,chirp/index,,,
Contact us,Public page,chirp/index,,,
Copy your channel key from the dashboard into a single field — Chirp connects everything.,Public page,chirp/index,,,
Create channel,Dashboard,dashboard/partials/chirp-section,,,
Do listeners need an account?,Public page,chirp/index,,,
Do speakers need special software?,Public page,chirp/index,,,
"Each channel runs one live room at a time. Want simultaneous rooms — say, a main stage and a side hangout? Buy another channel. Each is its own dedicated audio server and its own subscription, unlimited channels per account.",Public page,chirp/index,,,
"Every channel is a dedicated media server on its own subdomain. We run, patch, and update it; you never touch a config file.",Public page,chirp/index,,,
"Every channel is its own subscription — add or cancel channels independently, any time.",Public page,chirp/index,,,
"Everyone who can see the discussion can tune in — guests included, one click, no signup. Listeners are never metered and never billed.",Public page,chirp/index,,,
Everything you need to know about Chirp live audio for Flarum.,Public page,chirp/index,,,
Frequently asked questions,Public page,chirp/index,,,
Get a channel,Public page,chirp/index,,,
Get started,Public page,chirp/index,,,
Go live,Public page,chirp/index,,,
Go live on any discussion.,Public page,chirp/index,,,
How do I set it up?,Public page,chirp/index,,,
"How many people can be on stage at once. Listeners are always unlimited, and you can change this any time (prorated).",Dashboard,dashboard/partials/chirp-section,,,
How many people can speak?,Public page,chirp/index,,,
How to install →,Public page,chirp/index,,,
Install the extension,"Dashboard, Public page","chirp/index, dashboard/partials/chirp-section",,,
Install the free Chirp extension and paste one key. Speakers need a browser and a microphone — nobody downloads anything.,Public page,chirp/index,,,
"Install the free Chirp extension, then paste one key from your dashboard into a single field. Your forum connects to your channel’s dedicated audio server automatically — no servers, ports, or media configuration. Built for zero server experience.",Public page,chirp/index,,,
LIVE,"Message after an action, Public page","ChirpController, chirp/index",,,
Live audio for Flarum,Public page,chirp/index,,,
"Live audio rooms built into your forum: speakers on stage, unlimited listeners, and the thread is the chat. When the room ends, the conversation stays — unlike a Space or a stage, nothing evaporates.",Public page,chirp/index,,,
"Live audio rooms tied to your discussions — stages, voice hangouts, community radio. A channel is its own dedicated audio server; unlimited listeners, unlimited rooms over time, one live at a time per channel.",Dashboard,dashboard/partials/chirp-section,,,
Live audio — Chirp,Dashboard,dashboard/partials/chirp-section,,,
Live rooms on any discussion,Public page,chirp/index,,,
More speakers,Public page,chirp/index,,,
"No media servers, no port forwarding, no app for your members — buy, paste, go live.",Public page,chirp/index,,,
"No — just a browser and a microphone. Listeners need even less: one click and the audio plays. There’s nothing for anyone to download, on desktop or mobile.",Public page,chirp/index,,,
"No. Anyone who can see the discussion can listen — including guests, in one click, no signup. Listeners are unlimited on every channel; they’re never metered and never billed.",Public page,chirp/index,,,
"Not another app your community has to join — a stage on the forum they’re already on, with a thread that outlives the show.",Public page,chirp/index,,,
On air in a minute.,Public page,chirp/index,,,
One channel is one dedicated audio server. We provision it automatically in about a minute.,Public page,chirp/index,,,
One price. Unlimited audience.,Public page,chirp/index,,,
One-key setup,Public page,chirp/index,,,
One-key setup · cancel anytime,Public page,chirp/index,,,
Open any discussion and hit Go live. Speakers take the stage; everyone else listens in one click.,Public page,chirp/index,,,
"Panels, co-hosts, open stages",Public page,chirp/index,,,
Paste one key,Public page,chirp/index,,,
Plan updated — your new limits apply within a minute.,Message after an action,ChirpController,,,
Prorated automatically,Public page,chirp/index,,,
Release Q&A — ask us anything,Public page,chirp/index,,,
Resume channel,Dashboard,dashboard/partials/chirp-section,,,
Resuming your channel — back up in a couple of minutes.,Message after an action,ChirpController,,,
See how it works,Public page,chirp/index,,,
Speaker slots,Dashboard,dashboard/partials/chirp-section,,,
Speaker slots (people on stage at once in this channel),Dashboard,dashboard/partials/chirp-section,,,
Still have questions?,Public page,chirp/index,,,
The discussion is the room.,Public page,chirp/index,,,
"The discussion remains — every reply, every link, the whole conversation, right where your community already lives. That’s the point: a Twitter Space or Discord stage evaporates when it ends; a Chirp room leaves a thread your forum keeps forever.",Public page,chirp/index,,,
The thread is the chat,Public page,chirp/index,,,
"This channel is suspended — usually a lapsed payment. Fix it in Billing below, then hit Resume.",Dashboard,dashboard/partials/chirp-section,,,
This channel isn’t suspended.,Message after an action,ChirpController,,,
Unlimited listeners,"Dashboard, Public page","chirp/index, dashboard/partials/chirp-section",,,
Unlimited listeners — never billed,Public page,chirp/index,,,
Want two rooms at once? Add a channel,Public page,chirp/index,,,
What happens when a room ends?,Public page,chirp/index,,,
What is Chirp?,Public page,chirp/index,,,
Who speaks is a forum permission,Public page,chirp/index,,,
"Yes — channels bill monthly and cancel from your dashboard in one click; the audio server simply stops. Every discussion your rooms ever ran on stays on your forum, untouched.",Public page,chirp/index,,,
Your audio channel is being set up — this takes a minute.,Dashboard,dashboard/partials/chirp-section,,,
Your own audio server,Public page,chirp/index,,,
Your own dedicated audio server,Public page,chirp/index,,,
listening,Public page,chirp/index,,,
mo,"Dashboard, Message after an action, Public page","ChirpController, chirp/index, dashboard/partials/chirp-section",,,
month,"Dashboard, Message after an action, Public page","ChirpController, chirp/index, dashboard/partials/chirp-section",,,
month per 5 slots,Public page,chirp/index,,,
on stage,"Dashboard, Public page","chirp/index, dashboard/partials/chirp-section",,,
one dedicated audio server · one live room at a time,Public page,chirp/index,,,
unavailable,Message after an action,ChirpController,,,
unlimited listeners,"Dashboard, Public page","chirp/index, dashboard/partials/chirp-section",,,
:n speaker slot|:n speaker slots,Dashboard,dashboard/partials/chirp-section,:n,,plural: singular|plural forms
:n speaker|:n speakers,Dashboard,dashboard/partials/chirp-section,:n,,plural: singular|plural forms
Rotate credentials? Your extension will need the new key.,Dashboard,dashboard/partials/chirp-section,,,
Cancel this channel? Its audio server will stop.,Dashboard,dashboard/partials/chirp-section,,,
Clear REC indicator while the room is live,Public page,chirp/index,,,
"Every live room is recorded and saved to your forum as part of the discussion — unlimited recordings, stored on your forum, never on our servers.",Dashboard,dashboard/partials/chirp-section,,,
Posted into the discussion when the room ends,Public page,chirp/index,,,
Recordings,"Dashboard, Message after an action, Public page","ChirpController, chirp/index, dashboard/partials/chirp-section",,,
Recordings off — rooms are no longer recorded.,Message after an action,ChirpController,,,
Recordings on — every room you go live in from now on is recorded to your forum.,Message after an action,ChirpController,,,
Rooms are recorded and saved into the discussion on your forum. Prorated automatically.,Dashboard,dashboard/partials/chirp-section,,,
"Toggle any time, prorated automatically",Public page,chirp/index,,,
Turn off,Dashboard,dashboard/partials/chirp-section,,,
Turn on,Dashboard,dashboard/partials/chirp-section,,,
Unlimited recordings — one flat price,Public page,chirp/index,,,
Your forum stores the audio — never our servers,Public page,chirp/index,,,
every room recorded · stored on your forum,Public page,chirp/index,,,
off,"Dashboard, Message after an action, Public page","ChirpController, chirp/index, dashboard/partials/chirp-section",,,
on,"Dashboard, Message after an action, Public page","ChirpController, chirp/index, dashboard/partials/chirp-section",,,
"A channel is a flat $:price a month with unlimited listeners — you only ever pay for the stage, never the audience.",Public page,chirp/index,:price,,
Get a channel — $:price/mo,Public page,chirp/index,:price,,
"Live audio rooms for your Flarum forum — go live on any discussion, unlimited listeners, and the thread is the chat. When the room ends, the conversation stays. From $:price/month.",Public page,chirp/index,:price,,
Manage Chirp channel :name,Dashboard,dashboard/partials/chirp-section,:name,,
Stripe still reports this subscription as :status — settle it in Billing first.,Message after an action,ChirpController,:status,,
Up to :max on stage at once — included,Public page,chirp/index,:max,,
"Up to :max people on stage at once — included with every channel, no per-speaker charges. Who may take the mic is a normal Flarum permission you control, and speaker policies (open stage, raise-hand, author-only) let the host run the room live.",Public page,chirp/index,:max,,
up to :max on stage,Dashboard,dashboard/partials/chirp-section,:max,,
Back to the extensions,Public page,tips/thanks,,,
Batteries included,Public page,extensions/index,,,
Browse extensions,Public page,extensions/index,,,
Chirp,"Site chrome (header, footer, search)",shared/footer,,yes,
Enjoying the extensions?,Public page,tips/index,,,
Enjoying them? Leave a tip,Public page,extensions/index,,,
"Every extension I build is free and stays free — no keys, no nags. If one of them made your forum better and you feel like saying thanks, a tip does exactly that. It goes straight into keeping them maintained.",Public page,tips/index,,,
Extensions that supercharge your forum,Public page,extensions/index,,,
Flarum Extensions,Public page,extensions/index,,,
Get help on the forum,Public page,extensions/index,,,
"One-off, via Stripe — no account needed.",Public page,tips/index,,,
"Open-source Flarum extensions built and maintained by Link Robins — widgets, content tools, and community features. Install with a single Composer command.",Public page,extensions/index,,,
Open-source extensions for Flarum — built and maintained by Link Robins.,Public page,extensions/index,,,
Our extensions will be listed here shortly.,Public page,extensions/index,,,
Packagist,Public page,extensions/index,,yes,
Send a tip,Public page,tips/index,,,
Source,Public page,extensions/index,,,
Thank you — genuinely.,Public page,tips/thanks,,,
Tips,"Message after an action, Public page, Site chrome (header, footer, search)","TipsController, shared/footer, tips/index, tips/thanks",,,
Tips like yours are why the extensions stay free for everyone. Your receipt is on its way from Stripe.,Public page,tips/thanks,,,
$:price a year — cancel anytime,Public page,home/index,:price,,
100% US-Based Infrastructure,Public page,home/index,,,
14-day trial,Public page,home/index,,,
:count open-source extensions for Flarum — installed from Packagist like any other.,Public page,home/index,:count,,
"Analytics built only for Flarum — visitors, search terms and forum health, right in your admin panel. No cookies, no script tag.",Public page,home/index,,,
Built by a Flarum Team Member,Public page,home/index,,,
Every stat stored in your own database,Public page,home/index,,,
"Everything your Flarum needs,",Public page,home/index,,,
Forum health: activation & reply gaps,Public page,home/index,,,
Founded by a US Marine Veteran,Public page,home/index,,,
Founder,Public page,home/index,,,
Free,Public page,home/index,,,
Free tier,Public page,home/index,,,
Go to your dashboard,Public page,home/index,,,
"Hosted realtime for your forum — live replies, typing indicators and presence. We run the websocket server; you paste one key.",Public page,home/index,,,
Learn more,Public page,home/index,,,
Live replies,Public page,home/index,,,
On air,Public page,home/index,,,
Open source,Public page,home/index,,,
Purpose-built tools for Flarum.,Public page,home/index,,,
Read on the forum,Public page,home/index,,,
Read the issue,Public page,home/index,,,
Someone is replying…,Public page,home/index,,,
Stay up to date,Public page,home/index,,,
Take your Flarum community,Public page,home/index,,,
The toolkit,Public page,home/index,,,
The web service for Flarum,Public page,home/index,,,
"The web service for Flarum — tools and hands-on help for forum owners: open-source extensions, forum analytics, hosted realtime for live discussions, and free uptime monitoring for any website.",Public page,home/index,,,
This week,Public page,home/index,,,
"Tools and hands-on help for Flarum owners — the technology handled for you, so you can focus on your community.",Public page,home/index,,,
US Marine veteran and Flarum Team Member.,Public page,home/index,,,
"Uptime, SSL, DNS, and response time on any site — checked every minute, with alerts the moment something changes.",Public page,home/index,,,
"Veteran-owned web service for Flarum — tools and hands-on help for forum owners: open-source extensions, hosted realtime, and free uptime monitoring.",Public page,home/index,,,
"Visitors, pageviews & countries",Public page,home/index,,,
in one place.,Public page,home/index,,,
to the next level.,Public page,home/index,,,
